122114,千葉県,成田市,ﾁﾊﾞｹﾝ,ﾅﾘﾀｼ,,
122122,千葉県,佐倉市,ﾁﾊﾞｹﾝ,ｻｸﾗｼ,,
122131,千葉県,東金市,ﾁﾊﾞｹﾝ,ﾄｳｶﾞﾈｼ,,
122157,千葉県,旭市,ﾁﾊﾞｹﾝ,ｱｻﾋｼ,,
122165,千葉県,習志野市,ﾁﾊﾞｹﾝ,ﾅﾗｼﾉｼ,,
122173,千葉県,柏市,ﾁﾊﾞｹﾝ,ｶｼﾜｼ,,
122181,千葉県,勝浦市,ﾁﾊﾞｹﾝ,ｶﾂｳﾗｼ,,
122190,千葉県,市原市,ﾁﾊﾞｹﾝ,ｲﾁﾊﾗｼ,,
122203,千葉県,流山市,ﾁﾊﾞｹﾝ,ﾅｶﾞﾚﾔﾏｼ,,
122211,千葉県,八千代市,ﾁﾊﾞｹﾝ,ﾔﾁﾖｼ,,
122220,千葉県,我孫子市,ﾁﾊﾞｹﾝ,ｱﾋﾞｺｼ,,
122238,千葉県,鴨川市,ﾁﾊﾞｹﾝ,ｶﾓｶﾞﾜｼ,,
122246,千葉県,鎌ケ谷市,ﾁﾊﾞｹﾝ,ｶﾏｶﾞﾔｼ,,
122254,千葉県,君津市,ﾁﾊﾞｹﾝ,ｷﾐﾂｼ,,
122262,千葉県,富津市,ﾁﾊﾞｹﾝ,ﾌｯﾂｼ,,
122271,千葉県,浦安市,ﾁﾊﾞｹﾝ,ｳﾗﾔｽｼ,,
122289,千葉県,四街道市,ﾁﾊﾞｹﾝ,ﾖﾂｶｲﾄﾞｳｼ,,
122297,千葉県,袖ケ浦市,ﾁﾊﾞｹﾝ,ｿﾃﾞｶﾞｳﾗｼ,,
122301,千葉県,八街市,ﾁﾊﾞｹﾝ,ﾔﾁﾏﾀｼ,,
122319,千葉県,印西市,ﾁﾊﾞｹﾝ,ｲﾝｻﾞｲｼ,,
122327,千葉県,白井市,ﾁﾊﾞｹﾝ,ｼﾛｲｼ,,
122335,千葉県,富里市,ﾁﾊﾞｹﾝ,ﾄﾐｻﾄｼ,,
122343,千葉県,南房総市,ﾁﾊﾞｹﾝ,ﾐﾅﾐﾎﾞｳｿｳｼ,,
122351,千葉県,匝瑳市,ﾁﾊﾞｹﾝ,ｿｳｻｼ,,
122360,千葉県,香取市,ﾁﾊﾞｹﾝ,ｶﾄﾘｼ,,
122378,千葉県,山武市,ﾁﾊﾞｹﾝ,ｻﾝﾑｼ,,
122386,千葉県,いすみ市,ﾁﾊﾞｹﾝ,ｲｽﾐｼ,,
122394,千葉県,大網白里市,ﾁﾊﾞｹﾝ,ｵｵｱﾐｼﾗｻﾄｼ,,
123226,千葉県,酒々井町,ﾁﾊﾞｹﾝ,ｼｽｲﾏﾁ,,
123293,千葉県,栄町,ﾁﾊﾞｹﾝ,ｻｶｴﾏﾁ,,
123421,千葉県,神崎町,ﾁﾊﾞｹﾝ,ｺｳｻﾞｷﾏﾁ,,
123471,千葉県,多古町,ﾁﾊﾞｹﾝ,ﾀｺﾏﾁ,,
123498,千葉県,東庄町,ﾁﾊﾞｹﾝ,ﾄｳﾉｼｮｳﾏﾁ,,
124036,千葉県,九十九里町,ﾁﾊﾞｹﾝ,ｸｼﾞﾕｳｸﾘﾏﾁ,,
124095,千葉県,芝山町,ﾁﾊﾞｹﾝ,ｼﾊﾞﾔﾏﾏﾁ,,
124109,千葉県,横芝光町,ﾁﾊﾞｹﾝ,ﾖｺｼﾊﾞﾋｶﾘﾏﾁ,,
124214,千葉県,一宮町,ﾁﾊﾞｹﾝ,ｲﾁﾉﾐﾔﾏﾁ,,
124222,千葉県,睦沢町,ﾁﾊﾞｹﾝ,ﾑﾂｻﾞﾜﾏﾁ,,
124231,千葉県,長生村,ﾁﾊﾞｹﾝ,ﾁｮｳｾｲﾑﾗ,,
124249,千葉県,白子町,ﾁﾊﾞｹﾝ,ｼﾗｺﾏﾁ,,
124265,千葉県,長柄町,ﾁﾊﾞｹﾝ,ﾅｶﾞﾗﾏﾁ,,
124273,千葉県,長南町,ﾁﾊﾞｹﾝ,ﾁｮｳﾅﾝﾏﾁ,,
124419,千葉県,大多喜町,ﾁﾊﾞｹﾝ,ｵｵﾀｷﾏﾁ,,
124435,千葉県,御宿町,ﾁﾊﾞｹﾝ,ｵﾝｼﾞﾕｸﾏﾁ,,
124630,千葉県,鋸南町,ﾁﾊﾞｹﾝ,ｷﾖﾅﾝﾏﾁ,,
130001,東京都,,ﾄｳｷｮｳﾄ,,,
131016,東京都,千代田区,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,,
131024,東京都,中央区,ﾄｳｷｮｳﾄ,ﾁｭｳｵｳｸ,,
131032,東京都,港区,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,,
131041,東京都,新宿区,ﾄｳｷｮｳﾄ,ｼﾝｼﾞｭｸｸ,,
131059,東京都,文京区,ﾄｳｷｮｳﾄ,ﾌﾞﾝｷｮｳｸ,,
131067,東京都,台東区,ﾄｳｷｮｳﾄ,ﾀｲﾄｳｸ,,
131075,東京都,墨田区,ﾄｳｷｮｳﾄ,ｽﾐﾀﾞｸ,,
131083,東京都,江東区,ﾄｳｷｮｳﾄ,ｺｳﾄｳｸ,,
131091,東京都,品川区,ﾄｳｷｮｳﾄ,ｼﾅｶﾞﾜｸ,,
131105,東京都,目黒区,ﾄｳｷｮｳﾄ,ﾒｸﾞﾛｸ,,
131113,東京都,大田区,ﾄｳｷｮｳﾄ,ｵｵﾀｸ,,
131121,東京都,世田谷区,ﾄｳｷｮｳﾄ,ｾﾀｶﾞﾔｸ,,
131130,東京都,渋谷区,ﾄｳｷｮｳﾄ,ｼﾌﾞﾔｸ,,
131148,東京都,中野区,ﾄｳｷｮｳﾄ,ﾅｶﾉｸ,,
131156,東京都,杉並区,ﾄｳｷｮｳﾄ,ｽｷﾞﾅﾐｸ,,
131164,東京都,豊島区,ﾄｳｷｮｳﾄ,ﾄｼﾏｸ,,
